id_operacion;fecha;cod_vendedor;cod_cliente;cod_producto;cantidad;precio_unitario;descuento_pct;canal;estado
OP-10021;01/06/2026;VEN-03;CLI-1007;PRD-118;12;8.450,00;3;Preventa;Entregado
OP-10022;01/06/2026;VEN-01;CLI-1032;PRD-204;6;12.300,00;;Telefónico;Entregado
OP-10041;01/06/2026;VEN-02;CLI-1013;PRD-091;5;4.980,00;0;WhatsApp;Entregado
OP-10084;01/06/2026;VEN-01;CLI-1019;PRD-118;23;8.450,00;5;Preventa;Entregado
OP-10092;01/06/2026;VEN-03;CLI-1002;PRD-330;15;6.700,00;1;Preventa;Entregado
OP-10101;01/06/2026;VEN-05;CLI-1008;PRD-118;1;8.450,00;0;WhatsApp;Entregado
OP-10112;01/06/2026;VEN-01;CLI-1032;PRD-118;4;8.450,00;0;Preventa;ENTREGADO
OP-10123;01/06/2026;VEN-03;CLI-1002;PRD-118;6;8.450,00;0;Telefónico;Entregado
OP-10177;01/06/2026;VEN-06;CLI-1050;PRD-204;8;12.300,00;0;Preventa;Anulado
OP-10180;01/06/2026;VEN-05;CLI-1015;PRD-118;16;8.450,00;2;WhatsApp;Entregado
OP-10205;01/06/2026;VEN-01;CLI-1032;PRD-118;11;8.450,00;2;WhatsApp;Pendiente
OP-10207;01/06/2026;VEN-05;CLI-1008;PRD-204;1;12.300,00;;Telefónico;Entregado
OP-10266;01/06/2026;VEN-05;CLI-1032;PRD-118;10;8.450,00;3;Preventa;Entregado
OP-10268;01/06/2026;VEN-04;CLI-1036;PRD-204;1;12.300,00;;Preventa;Entregado
OP-10321;01/06/2026;VEN-02;CLI-1013;PRD-091;2;4.980,00;0;Preventa;Entregado
OP-10328;01/06/2026;VEN-05;CLI-1027;PRD-118;-3;8.450,00;0;Preventa;Entregado
OP-10333;01/06/2026;VEN-02;CLI-1044;PRD-204;4;12.300,00;0;Preventa;Entregado
OP-10341;01/06/2026;VEN-02;CLI-1013;prd-204;8;12.300,00;0;Preventa;Entregado
OP-10354;01/06/2026;VEN-04;CLI-1007;PRD-330;10;6.700,00;3;Preventa;Pendiente
OP-10389;01/06/2026;VEN-03;CLI-1007;PRD-412;5;9.900,00;0;Preventa;entregado
OP-10401;01/06/2026;VEN-04;CLI-1036;PRD-330;10;6.700,00;1;Preventa;Entregado
OP-10023;2026-06-02;VEN-05;CLI-1015;PRD-118;24;8.450,00;6;Preventa;ENTREGADO
OP-10023;2026-06-02;VEN-05;CLI-1015;PRD-118;24;8.450,00;6;Preventa;ENTREGADO
OP-10024;02/06/2026;VEN-02;CLI-1044;PRD-091;10;4.980,00;0;WhatsApp;entregado
OP-10025;02/06/2026;VEN-03;CLI-1007;prd-118;8;8.450,00;0;Preventa;Pendiente
OP-10059;02/06/2026;VEN-07;CLI-1013;PRD-204;11;12.300,00;2;WhatsApp;Entreg.
OP-10069;02/06/2026;VEN-03;CLI-1019;PRD-412 ;3;9.900,00;0;WhatsApp;Entreg.
