clase,fecha,tipo,unidad,titulo
01,2026-08-11,clase,Herramientas digitales,"Herramientas Digitales: Internet, Nube e IA"
02,2026-08-18,clase,Procesador de texto,Arquitectura del documento profesional
03,2026-08-25,clase,Procesador de texto,IA como asistente académico
04,2026-09-01,clase,Procesador de texto,Arquitectura avanzada del documento
05,2026-09-15,clase,Procesador de texto,Maquetación de alta precisión
06,2026-09-22,clase,Presentaciones,Presentaciones con IA: de borrador a entrega
07,2026-09-29,evaluacion,Evaluación,1° Parcial
08,2026-10-06,clase,Planilla de cálculo,Lógica de celdas y funciones esenciales
09,2026-10-13,clase,Planilla de cálculo,Funciones lógicas y validación de datos
10,2026-10-20,clase,Planilla de cálculo,Búsqueda entre hojas y visualización
11,2026-10-27,clase,Planilla de cálculo,Análisis de datos con Tablas Dinámicas e IA
12,2026-11-03,evaluacion,Evaluación,2° Parcial
13,2026-11-10,clase,Gestión de datos e IA,Cómo piensan las bases de datos
14,2026-11-17,clase,Gestión de datos e IA,Del formulario a la base de datos
15,TODO,clase,Gestión de datos e IA,Del dato a la decisión
16,2026-11-24,evaluacion,Evaluación,3° Parcial
17,2026-12-01,evaluacion,Evaluación,Recuperatorio
