clase,orden,titulo,39500_id,39501_id
01,1,Carpeta de Drive,1946794,1946837
01,2,Perfil de LinkedIn,1946797,1946838
02,1,Link del documento,1980133,1980136
03,1,Link del documento,1985521,1985523
04,1,Documento Base - V01,1988723,1988719
05,1,Trabajo de Investigación en PDF,1988724,TODO
06,1,Presentación Integradora,1988725,TODO
08,1,Planilla Clase 08,1988727,TODO
09,1,Planilla Clase 09,1990126,TODO
10,1,Planilla Clase 10,1990127,TODO
11,1,Trabajo integrador Bloque 4,1990128,TODO
07,1,Entrega del examen (documento + presentación),TODO,TODO
12,1,Entrega del examen (planilla),TODO,TODO
16,1,Entrega del proyecto integrador,TODO,TODO
17,1,Entrega del recuperatorio,TODO,TODO
